isbn,title,author,image_url,amazon_url,has_kindle,is_unlimited,is_prime_reading,has_audible,is_audible,updated_at,category,hp_anchor
9784822244576,株式投資の未来 : 永続する会社が本当の利益をもたらす,"Siegel,JeremyJ 瑞穂,のりこ,1968-",https://m.media-amazon.com/images/I/81DhAa2iJ0L._SY342_.jpg,https://www.amazon.co.jp/dp/4822244571,False,False,False,False,False,2026-05-01 15:46:59,株式投資基礎,i-9
9784775972786,タイトル未取得,著者不明,https://m.media-amazon.com/images/I/81T83qAkkLL._SY342_.jpg,https://www.amazon.co.jp/dp/B08RRLH765,True,False,False,False,False,2026-05-01 15:47:17,株式投資基礎,i-9
9784910364261,ウォーレン・バフェット賢者の名言365 = Warren Buffett Wise Quotes 365,"桑原,晃弥,1956-",https://m.media-amazon.com/images/I/81sAW8CGGoL._SY342_.jpg,https://www.amazon.co.jp/dp/B0D5CDLXKN,True,False,False,False,False,2026-05-01 15:47:35,バリュー株投資,
9784296100514,"""普通の人""だから勝てるエナフン流株式投資術","奥山,月仁",https://m.media-amazon.com/images/I/81n6EWNYiPL._SY342_.jpg,https://www.amazon.co.jp/dp/B07JJ7ML42,True,False,False,False,False,2026-05-01 15:47:51,バリュー株投資,
9784894517837,お金は寝かせて増やしなさい,"水瀬,ケンイチ",https://m.media-amazon.com/images/I/81VyiWsOm0L._SY342_.jpg,https://www.amazon.co.jp/dp/4894517833,False,False,False,False,False,2026-05-01 15:48:07,インデックス投資,i-11
9784775972328,インデックス投資は勝者のゲーム : 株式市場から利益を得る常識的方法,"Bogle,JohnC.,1929-2019 長尾,慎太郎 藤原,玄,1977-",https://m.media-amazon.com/images/I/81JshMa-vmL._SY342_.jpg,https://www.amazon.co.jp/dp/B07D56J524,True,False,False,True,False,2026-05-01 15:48:20,インデックス投資,
9784022951670,ほったらかし投資術,"山崎,元,1958-2024 水瀬,ケンイチ",https://m.media-amazon.com/images/I/71OYkeb1FUL._SY342_.jpg,https://www.amazon.co.jp/dp/B09TST3GHR,True,False,False,False,False,2026-05-01 15:48:38,インデックス投資,i-11
9784866510422,図解・最新難しいことはわかりませんが、お金の増やし方を教えてください!,"山崎,元,1958-2024 大橋,弘祐",https://m.media-amazon.com/images/I/81xzcwtqUUL._SY342_.jpg,https://www.amazon.co.jp/dp/B077F4SK36,True,True,True,False,False,2026-05-01 15:48:56,お金の基礎教養,
9784800720818,世界一やさしい米国株の教科書1年生 : 再入門にも最適!,"はちどう,1980-",https://m.media-amazon.com/images/I/8148MB+tXYL._SY342_.jpg,https://www.amazon.co.jp/dp/B0895FQX2N,True,False,False,False,False,2026-05-01 15:49:13,米国株投資,i-12
9784046044150,お金が増える米国株超楽ちん投資術 : 英語力&知識ゼロで億超えも夢じゃない,たぱぞう,https://m.media-amazon.com/images/I/81FL8LYd78L._SY342_.jpg,https://www.amazon.co.jp/dp/B07YYTN6QS,True,False,False,True,False,2026-05-01 15:49:26,米国株投資,
